origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,,,origin,destination,ticket
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,ACA,AQM1A2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,ZIH,MEX,ARZ1M2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MEX,MZT,ASM1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MEX,GUA,ATM1G2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,AGU,MTY,AUA1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,CUN,BOG,AVC1B2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,CUN,MID,AWC1M2
MTY,MEX,25.7785,-100.107,19.4363,-99.0721,,,MID,VER,AXM1V2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,MID,VSA,AYM1V2
MEX,MTY,19.4363,-99.0721,25.7785,-100.107,,,VSA,MID,AZV1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,VER,MID,BAV1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,BZE,BBC1B2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,GDL,DFW,BCG1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,DFW,BDM1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,DFW,BEC1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,MIA,BFC1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,PVR,DFW,BGP1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CZM,DFW,BHC1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,JFK,BIC1J2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,ORD,BJC1O2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,HMO,PHX,BKH1P2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MTY,DFW,BLM1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUU,DFW,BMC1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,TRC,DFW,BNT1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,QRO,DFW,BNQ1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,AGU,DFW,BOA1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,BJX,DFW,BPB1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,PBC,DFW,BQP1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MTY,MIA,BRM1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,PHX,BSM1P2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MID,MIA,BTM1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,PHL,BUM1P2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,SLP,DFW,BVS1D2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,GDL,PHX,BWG1P2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,CLT,BYM1C2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,CUN,CLT,BZC1C2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,YYZ,CAM1Y2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,GDL,IAH,CBG1I2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,YVR,CCM1Y2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,CDG,CDM1C2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,ZCL,CEM1Z2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,AMS,CFM1A2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,ATL,CGM1A2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,CEN,CHM1C2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,ZCL,MEX,CIZ1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,MAD,CJM1M2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,MEX,SCL,CKM1S2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,GDL,TIJ,CLG1T2
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
TAM,MEX,22.2964,-97.8659,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
GDL,MEX,20.5218,-103.311,19.4363,-99.0721,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,GDL,19.4363,-99.0721,20.5218,-103.311,,,,,
MEX,CJS,19.4363,-99.0721,31.6361,-106.429,,,,,
MEX,CJS,19.4363,-99.0721,31.6361,-106.429,,,,,
CJS,MEX,31.6361,-106.429,19.4363,-99.0721,,,,,
CJS,MEX,31.6361,-106.429,19.4363,-99.0721,,,,,
MTY,GDL,25.7785,-100.107,20.5218,-103.311,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
CUN,MEX,21.0365,-86.8771,19.4363,-99.0721,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
MEX,CUN,19.4363,-99.0721,21.0365,-86.8771,,,,,
TIJ,MEX,32.5411,-116.97,19.4363,-99.0721,,,,,
MEX,TIJ,19.4363,-99.0721,32.5411,-116.97,,,,,
TIJ,MEX,32.5411,-116.97,19.4363,-99.0721,,,,,
MEX,TIJ,19.4363,-99.0721,32.5411,-116.97,,,,,
MEX,HMO,19.4363,-99.0721,29.0959,-111.048,,,,,
HMO,MEX,29.0959,-111.048,19.4363,-99.0721,,,,,
MEX,CME,19.4363,-99.0721,18.6537,-91.799,,,,,
MEX,CME,19.4363,-99.0721,18.6537,-91.799,,,,,
CME,MEX,18.6537,-91.799,19.4363,-99.0721,,,,,
CME,MEX,18.6537,-91.799,19.4363,-99.0721,,,,,
MEX,MID,19.4363,-99.0721,20.937,-89.6577,,,,,
MEX,MID,19.4363,-99.0721,20.937,-89.6577,,,,,
MID,MEX,20.937,-89.6577,19.4363,-99.0721,,,,,
MEX,MID,19.4363,-99.0721,20.937,-89.6577,,,,,
MID,MEX,20.937,-89.6577,19.4363,-99.0721,,,,,
